"species","Difference_late_minus_early_trend","LCI_90_Difference_late_minus_early_trend","UCI_90_Difference_late_minus_early_trend","prob_decreasing_trend","early_trend","LCI_early_trend","UCI_early_trend","late_trend","LCI_late_trend","UCI_late_trend"
"Blue-headed Vireo",-0.1,-1.5,0.8,0.56,3,2.7,3.3,2.9,1.6,3.7
"Blue-winged Teal",1.8,-0.5,4.3,0.07,0.8,0.2,1.4,2.6,0.5,4.8
"Blue-winged Warbler",-0.2,-1,0.8,0.66,-1,-1.2,-0.7,-1.1,-1.9,-0.3
"Blue Grosbeak",0.2,-0.3,0.7,0.17,0.8,0.6,0.9,1,0.5,1.4
"Blue Jay",0.3,-0.1,0.7,0.06,-0.7,-0.7,-0.6,-0.4,-0.7,0
"Boat-tailed Grackle",0.1,-1.4,1.6,0.45,-0.9,-1.4,-0.4,-0.8,-2.2,0.6
"Bobolink",0.9,-0.1,1.7,0.04,-2.3,-2.5,-2.1,-1.4,-2.3,-0.6
"Bohemian Waxwing",0.4,-3.1,4.3,0.41,-3.8,-5.9,-1.7,-3.4,-6,-0.5
"Bonaparte's Gull",0.2,-3.8,4.5,0.46,-0.5,-2.9,1.7,-0.3,-3.2,2.8
"Boreal Chickadee",0.3,-0.9,1.5,0.32,-0.3,-0.7,0.1,0,-1.1,1
"Brandt's Cormorant",0.4,-2.1,3,0.35,3.8,3,4.6,4.2,1.8,6.6
"Brant",0.2,-3.2,3.7,0.44,-3.5,-6.2,-0.8,-3.3,-5.1,-1.3
"Brewer's Blackbird",0.5,-0.1,1.1,0.06,-2.1,-2.3,-2,-1.7,-2.2,-1.1
"Brewer's Sparrow",-0.3,-1.7,0.7,0.68,-1.1,-1.5,-0.7,-1.3,-2.7,-0.4
"Bridled Titmouse",0.3,-7,8.7,0.48,-0.5,-5.2,4.2,-0.2,-5.6,5.9
"Broad-tailed Hummingbird",0,-1,1.1,0.5,-1.6,-2,-1.3,-1.6,-2.5,-0.6
"Broad-winged Hawk",0.2,-0.4,0.8,0.23,0.8,0.6,1,1,0.4,1.6
"Bronzed Cowbird",0.1,-1.4,1.9,0.44,0.2,-0.4,0.8,0.4,-1,1.9
"Brown-crested Flycatcher",-0.2,-2.4,1.4,0.55,3.6,3,4.2,3.4,1.3,4.9
"Brown-headed Cowbird",0.5,0,1,0.03,-0.7,-0.8,-0.6,-0.2,-0.7,0.2
"Brown-headed Nuthatch",0.5,-0.2,1.3,0.08,-0.5,-0.7,-0.2,0,-0.6,0.7
"Brown Creeper",0.3,-0.4,1,0.2,0.6,0.3,0.8,0.8,0.2,1.5
"Brown Pelican",-0.2,-4.3,3.6,0.54,3.4,1.9,4.8,3.1,-0.6,6.4
"Brown Thrasher",0.4,0.1,0.8,0.01,-1.1,-1.2,-1,-0.7,-1,-0.4
"Buff-breasted Sandpiper",-1.5,-7.8,1.3,0.74,1.8,0.2,3.6,0.3,-4.9,3.1
"Bufflehead",0.2,-1.2,1.7,0.37,3.4,2.8,3.9,3.6,2.2,5.1
"Bullock's Oriole",0.4,-0.2,1.1,0.09,-0.7,-0.9,-0.5,-0.3,-0.9,0.3
"Burrowing Owl",0.9,-0.2,2.2,0.06,-0.8,-1.1,-0.4,0.1,-0.9,1.3
"Bushtit",0.3,-0.8,1.8,0.31,-0.8,-1.3,-0.3,-0.5,-1.5,0.8
"Cackling Goose",-6.8,-11.8,-2,1,3.7,-2.9,11.1,-3,-6.5,0.6
"Cactus Wren",-0.1,-1.4,1,0.59,-2,-2.5,-1.6,-2.2,-3.2,-1.1
"California Gull",2.1,-0.5,5.8,0.07,-1.7,-2.8,-0.7,0.4,-2,3.6
"California Quail",-0.8,-2.8,0.5,0.84,1.2,0.8,1.6,0.4,-1.4,1.5
"California Scrub-Jay",-0.3,-1.3,0.5,0.81,-0.1,-0.4,0.1,-0.5,-1.3,0.2
"California Thrasher",0.2,-1,1.7,0.38,-1.4,-1.9,-0.9,-1.2,-2.3,0.1
"California Towhee",0,-1.1,1,0.54,-0.4,-0.7,0,-0.4,-1.4,0.6
"Calliope Hummingbird",0.6,-0.5,2,0.17,-0.5,-0.9,-0.1,0.1,-0.9,1.4
"Canada Goose",0,-2.5,2.8,0.54,5.3,3,6.9,5.3,3.3,6.9
"Canada Jay",0.3,-0.6,1.4,0.3,-0.3,-0.7,0.1,-0.1,-0.8,0.9
"Canada Warbler",0.8,-0.2,2.3,0.08,-2.3,-2.6,-2,-1.6,-2.5,-0.1
"Canvasback",0.7,-0.9,2.7,0.21,0.6,0,1.1,1.3,-0.1,3.1
"Canyon Towhee",0.4,-1.2,2.2,0.34,-1.7,-2.4,-1,-1.3,-2.6,0.3
"Canyon Wren",0.3,-0.7,1.3,0.29,0,-0.4,0.3,0.2,-0.6,1.2
"Cape May Warbler",3,0.6,6.4,0,-1.5,-2.3,-0.7,1.6,-0.5,4.3
"Carolina Chickadee",-0.4,-1,0.1,0.96,-0.4,-0.5,-0.3,-0.8,-1.3,-0.4
"Carolina Wren",-0.7,-2.3,0.7,0.83,1,0.7,1.4,0.3,-1,1.6
"Caspian Tern",0.4,-1.2,2.5,0.33,0.8,0,1.6,1.2,-0.2,3.1
"Cassin's Auklet",1.9,-2,11.6,0.29,-1.1,-3.2,0.8,0.9,-2.8,9.3
"Cassin's Finch",1,-0.2,2.7,0.06,-2.1,-2.5,-1.7,-1.1,-2.1,0.4
"Cassin's Kingbird",0.5,-0.7,2,0.24,0.1,-0.4,0.6,0.6,-0.5,1.9
"Cassin's Sparrow",0.5,-0.9,2.3,0.23,-0.9,-1.4,-0.3,-0.3,-1.7,1.3
"Cassin's Vireo",-0.8,-2.3,0.3,0.91,1.1,0.8,1.5,0.3,-1,1.3
"Cattle Egret",0.1,-0.8,1.3,0.4,-1.4,-1.8,-1,-1.3,-2.2,-0.2
"Cave Swallow",-13.7,-24.4,-2.2,0.99,23.2,19.6,26.7,9.5,-0.1,19.7
"Cedar Waxwing",-0.4,-1.1,0.3,0.9,0.5,0.3,0.7,0.1,-0.5,0.7
"Cerulean Warbler",0.3,-0.7,1.5,0.27,-2.8,-3.1,-2.4,-2.4,-3.4,-1.3
"Chestnut-backed Chickadee",0,-1.1,1.2,0.51,-1.3,-1.7,-0.9,-1.3,-2.3,-0.2
"Chestnut-collared Longspur",0.6,-1.1,2.9,0.28,-4.4,-5,-3.8,-3.9,-5.4,-1.7
"Chestnut-sided Warbler",0.9,0.1,1.8,0.01,-1.3,-1.5,-1,-0.4,-1.1,0.4
"Chihuahuan Raven",0.1,-1.3,1.6,0.47,-0.3,-0.8,0.3,-0.2,-1.4,1.1
"Chimney Swift",-0.1,-0.5,0.3,0.76,-2.5,-2.6,-2.4,-2.7,-3,-2.3
"Chipping Sparrow",-0.1,-0.7,0.4,0.65,-0.6,-0.8,-0.5,-0.7,-1.3,-0.3
"Chuck-will's-widow",0.3,-0.2,1,0.11,-2.3,-2.5,-2.2,-2,-2.5,-1.4
"Chukar",0.6,-1.4,3,0.27,1.1,0.4,1.9,1.8,-0.1,3.9
"Cinnamon Teal",0.9,-0.5,3.1,0.13,-2.2,-2.8,-1.6,-1.2,-2.5,0.7
"Clapper Rail",0.5,-1.2,2.7,0.29,-0.8,-1.6,-0.1,-0.4,-1.9,1.6
"Clark's Grebe",1.4,-0.6,4.2,0.11,-2.9,-3.7,-2.1,-1.5,-3.4,1
"Clark's Nutcracker",0,-1.1,1.1,0.53,0,-0.6,0.6,0,-0.9,0.9
"Clay-colored Sparrow",0.5,-0.2,1.4,0.08,-1.3,-1.5,-1.1,-0.8,-1.4,0
"Cliff Swallow",4.1,2.7,5.6,0,0.1,-0.3,0.4,4.2,2.9,5.5
"Common Eider",1.7,-3.7,11.1,0.32,0.6,-2,3.4,2.4,-2.3,10.5
"Common Gallinule",0.2,-1.2,1.8,0.43,-1.1,-1.6,-0.6,-0.9,-2.3,0.6
"Common Goldeneye",0.2,-0.9,1.6,0.36,0.7,0.2,1.1,0.9,-0.2,2.1
"Common Grackle",0.1,-0.4,0.5,0.33,-1.9,-2,-1.7,-1.8,-2.2,-1.4
"Common Ground-Dove",0.5,-0.6,1.7,0.18,-0.7,-1.1,-0.4,-0.3,-1.3,0.8
"Common Loon",0,-0.9,0.9,0.53,0.7,0.4,1,0.7,-0.1,1.4
"Common Merganser",1,-0.1,2.4,0.03,-0.6,-1.1,-0.1,0.5,-0.4,1.6
"Common Murre",2.2,-1.4,8.7,0.17,-0.8,-2.6,0.9,1.4,-1.9,7
"Common Nighthawk",0.9,0.2,1.6,0,-1.9,-2.1,-1.8,-1,-1.6,-0.3
"Common Poorwill",0.1,-0.8,1.3,0.4,0.3,-0.1,0.7,0.5,-0.4,1.5
"Common Raven",0.8,0.1,1.5,0.01,2.2,1.9,2.5,3,2.4,3.6
"Common Redpoll",3.1,-0.8,8.8,0.09,-3.7,-6.2,-1.4,-0.6,-3.6,3.5
"Common Tern",0.6,-1.1,3.3,0.28,-2.1,-2.9,-1.3,-1.4,-3.1,0.9
"Common Yellowthroat",0.3,-0.1,0.7,0.08,-0.9,-1,-0.8,-0.6,-1,-0.2
"Connecticut Warbler",0.3,-1.1,2.2,0.34,-1.9,-2.5,-1.4,-1.6,-2.9,0.1
"Cooper's Hawk",0.5,-0.1,1.1,0.05,2.9,2.7,3.1,3.4,2.9,4
"Cordilleran Flycatcher",0.3,-0.7,1.9,0.31,-0.3,-0.7,0,0,-0.9,1.4
"Costa's Hummingbird",0.1,-2,2.4,0.48,-0.1,-0.9,0.8,0,-1.7,2.1
"Couch's Kingbird",-0.5,-3.3,1.4,0.67,9.1,8.2,10.1,8.6,6.1,10.5
"Crested Caracara",-0.4,-2.4,0.9,0.7,6.4,5.9,7,6,4.2,7.3
"Crissal Thrasher",0.5,-0.7,2.2,0.22,-0.5,-1.2,0.1,0,-1.1,1.4
