"","species","English_Common_Name","firstyear","lastyear","ave.ind","max.ind","RCI","Uncertain","conv","u","u.lowCI","u.upCI","R","R.lowCI","R.upCI","Q","Q.lowCI","Q.upCI","predicted_year","qe.pred_50","p.30_percent_decline_50_years","y.hl.30_percent_decline","p.50_percent_decline_50_years","y.hl.50_percent_decline","p.70_percent_decline_50_years","y.hl.70_percent_decline"
"817","American Robin","American Robin",1970,2017,32.8686128461538,33.6852,0.0596475964851839,FALSE,0,0.000221229583848796,-0.00608206952754427,0.00652452869524187,0.000192265766083111,-2.27430576348315e-05,0.000407274589801053,0.000104127908556732,NA,NA,2067,0,0,NA,0,NA,0,NA
"865","American Three-toed Woodpecker","American Three-toed Woodpecker",1970,2017,0.0761453846153846,0.098332,1.15833628843995,FALSE,0,0.0425778412306976,0.0323466995316903,0.052808982929705,0.000670369640379279,-5.15194115006467e-05,0.00139225869225921,0.000262464569253211,NA,NA,2067,0,0,NA,0,NA,0,NA
"913","American Tree Sparrow","American Tree Sparrow",1970,2017,42.7760128923077,49.46339589,0.357890155113832,FALSE,0,-0.0113755865263765,-0.0498213277969065,0.0270701547441536,0.00886521048091077,-0.000798396825068728,0.0185288177868903,0.00375878720858291,NA,NA,2067,0,0.83,22,0.507,50,0.103,NA
"961","American White Pelican","American White Pelican",1970,2017,25.8261511538462,42.581547,1.39585768559767,FALSE,0,0.0707980045999861,0.0479390333236078,0.0936569758763644,0.00205356981755705,-0.000430966790155639,0.00453810642526974,0.00138638571542118,NA,NA,2067,0,0,NA,0,NA,0,NA
"1009","American Wigeon","American Wigeon",1970,2017,2599.86923076923,3411.3,0.230694234443417,FALSE,0,0.0243091310067827,-0.0216961323121491,0.0703143943257144,0.00713111173852682,-0.0015358493945265,0.0157980728715801,0.00580879318527875,NA,NA,2067,0,0.083,NA,0.068,NA,0.085,NA
"1057","American Woodcock","American Woodcock",1970,2017,2.74846153846154,2.97,NA,TRUE,0,-0.00887362336687069,-0.0268839941263271,0.00913674739258568,0,-0.000541946718736047,0.000541946718736047,0.00101305886163158,-0.000287987485013675,0.00231410520827683,2067,0,0.748,35,0.175,NA,0.001,NA
"1105","Ancient Murrelet","Ancient Murrelet",1970,2017,0.899698753076923,1.814983675,3.84384562920581,TRUE,0,0.0420175494579311,-0.0889174337999736,0.172952532715836,0.0980303239315968,-0.0102938695379383,0.206354517401132,0.0439328655186104,NA,NA,2067,0.02,0.541,10,0.332,NA,0.202,NA
"1153","Anhinga","Anhinga",1970,2017,0.427688615384615,0.533029,0.599836437859504,FALSE,0,0.0370556626588119,0.0224799438218855,0.0516313814957383,0.00110102903120229,-0.000118109757091354,0.00232016781949593,0.000553134206550525,NA,NA,2067,0,0,NA,0,NA,0,NA
"1201","Anna's Hummingbird","Anna's Hummingbird",1970,2017,0.868453076923077,1.041161,0.42669046577013,FALSE,0,0.0310988174272617,0.0216270770857609,0.0405705577687625,0.000414788927317299,-5.05894567847353e-05,0.000880167311419333,0.000237575050869357,NA,NA,2067,0,0,NA,0,NA,0,NA
"1249","Arctic Tern","Arctic Tern",1993,2017,1.38685507692308,1.563337,1.43393506716812,FALSE,0,-0.0203151563903732,-0.0418407044356733,0.00121039165492687,0.00276638346459738,-0.000238993501451184,0.00577176043064594,0.00117959495211417,NA,NA,2067,0,0.998,17,0.931,33,0.251,NA
"1297","Arctic Warbler","Arctic Warbler",1993,2017,12.1234539230769,16.345232,4.16700609805463,TRUE,0,-0.0479529009535776,-0.0676962933733998,-0.0282095085337553,0.0022137256863382,-0.000201167295804828,0.00462861866848124,0.00100082910227234,NA,NA,2067,0,1,8,1,15,1,25
"1345","Ash-throated Flycatcher","Ash-throated Flycatcher",1970,2017,10.9546195384615,12.115738,0.293760100516586,FALSE,0,0.00913535953738299,-0.00366428109308803,0.021935000167854,0.000913164801753024,-8.44387526865123e-05,0.00191076835619256,0.000421863513829426,NA,NA,2067,0,0.055,NA,0.013,NA,0,NA
"1393","Atlantic Puffin","Atlantic Puffin",1970,2017,0.190693551076923,0.232448017,5.65272539337515,TRUE,0,0.034492271934158,0.0096377946988373,0.0593467491694786,0.00379759063477522,-0.000301436355061896,0.00789661762461234,0.00156439298646413,NA,NA,2067,0,0,NA,0,NA,0.007,NA
"1441","Bachman's Sparrow","Bachman's Sparrow",1970,2017,0.344829153846154,0.415167,0.598349085821512,FALSE,0,-0.0211950036411487,-0.0341732307281022,-0.00821677655419516,0.000684972941115965,-0.00012925167571466,0.00149919755794659,0.000446359243074155,NA,NA,2067,0,1,17,0.995,33,0.184,NA
"1489","Baird's Sandpiper","Baird's Sandpiper",1974,2016,0.2525,0.351,1.86954389133497,FALSE,0,-0.0285715996211968,-0.124784296651482,0.0676410974090888,0.0415839618525169,-0.00720515404263687,0.0903730777476707,0.0218311710164133,NA,NA,2066,0.076,0.959,7,0.889,16,0.722,33
"1537","Baird's Sparrow","Baird's Sparrow",1970,2017,3.813271,4.443989,0.972357604196469,FALSE,0,-0.016632887229267,-0.0522437831826697,0.0189780087241357,0.00603054924495598,-0.000777398408023855,0.0128384968979358,0.00334229464995867,NA,NA,2067,0,0.941,17,0.728,37,0.232,NA
"1585","Bald Eagle","Bald Eagle",1970,2017,0.182703615384615,0.288538,0.336429584868045,FALSE,0,0.0791346695182695,0.07405400883194,0.084215330204599,0.000176339223138934,-6.26825543033159e-06,0.0003589467017082,6.30232823208321e-05,NA,NA,2067,0,0,NA,0,NA,0,NA
"1633","Baltimore Oriole","Baltimore Oriole",1970,2017,2.208028,2.378967,0.104454036849809,FALSE,0,-0.00972095088669431,-0.0172961560616487,-0.00214574571173994,0.000231591960950922,-3.86151813077229e-05,0.000501799103209568,0.000154041718380248,NA,NA,2067,0,0.944,36,0.011,NA,0,NA
"1681","Band-tailed Pigeon","Band-tailed Pigeon",1970,2017,3.01703623076923,3.362544,0.638147543032413,FALSE,0,-0.00535958609890991,-0.023059730097772,0.0123405578999522,0.00179116629614365,-0.000173115697499411,0.00375544828978672,0.000800438554192824,NA,NA,2067,0,0.435,NA,0.025,NA,0,NA
"1729","Bank Swallow","Bank Swallow",1970,2017,4.56450615384615,5.292191,0.704866705382843,FALSE,0,-0.0152356092477679,-0.0335522985345622,0.00308108003902642,0.00163118578107294,-0.000203746594939944,0.00346611815708583,0.000882007782014449,NA,NA,2067,0,0.984,22,0.682,44,0.022,NA
"1777","Barn Owl","Barn Owl",1970,2017,0.0280278461538462,0.035784,0.830648145983622,FALSE,0,0.0389983142719598,0.0298920126447094,0.0481046158992101,0.000472462699221137,-4.82366429486763e-05,0.000993162041390949,0.000211716126389086,NA,NA,2067,0,0,NA,0,NA,0,NA
"1825","Barn Swallow","Barn Swallow",1970,2017,11.6663666153846,12.370633,0.0747792077090407,FALSE,0,-0.00992031396704776,-0.0164925015801725,-0.00334812635392301,0.000276125649786894,-1.95787333950276e-05,0.000571830032968816,0.000108550123271061,NA,NA,2067,0,0.976,36,0.004,NA,0,NA
"1873","Barred Owl","Barred Owl",1970,2017,0.154586307692308,0.176732,0.197975201874713,FALSE,0,0.0226008233185199,0.0173551669896092,0.0278464796474305,0.000184772713161487,-1.15059411779836e-05,0.000381051367500957,6.8538681135822e-05,NA,NA,2067,0,0,NA,0,NA,0,NA
"1921","Barrow's Goldeneye","Barrow's Goldeneye",1970,2017,0.191962615384615,0.232346,1.67231713316041,FALSE,0,-0.0148533828420303,-0.0356704604723639,0.00596369478830328,0.0028223898660318,-0.000200942714292731,0.00584572244635633,0.00108499520794006,NA,NA,2067,0,0.972,22,0.646,45,0.03,NA
"1969","Bay-breasted Warbler","Bay-breasted Warbler",1970,2017,1.44549115384615,1.735846,0.875889216705289,FALSE,0,0.0275097659430029,0.00940341038175822,0.0456161215042476,0.00177460818491907,-0.000181783632395494,0.00373100000223363,0.000847956349529343,NA,NA,2067,0,0,NA,0,NA,0.022,NA
"2017","Bell's Sparrow","Bell's Sparrow",1970,2017,33.1390122307692,35.045479,1.08030277835135,FALSE,0,-0.00412115444940678,-0.0161490171504436,0.00790670825163001,0.000745746353485352,-7.6470892748769e-05,0.00156796359971947,0.000377056655402994,NA,NA,2067,0,0.187,NA,0,NA,0,NA
"2065","Bell's Vireo","Bell's Vireo",1970,2017,1.67723907692308,1.910143,0.472972736570958,FALSE,0,0.0223174543268117,0.0051798054117068,0.0394551032419166,0.00142886568965935,-0.00016750674484733,0.00302523812416604,0.00077206788338652,NA,NA,2067,0,0,NA,0.004,NA,0.03,NA
"2113","Belted Kingfisher","Belted Kingfisher",1970,2017,0.215368538461538,0.233017,0.162309721992713,FALSE,0,-0.0112652516118609,-0.0164559862751179,-0.00607451694860395,0.000154788133629714,-1.29259899671092e-05,0.000322502257226537,6.90453293890243e-05,NA,NA,2067,0,1,32,0.015,NA,0,NA
"2161","Bendire's Thrasher","Bendire's Thrasher",1970,2017,0.178472923076923,0.208799,1.18938289759061,FALSE,0,-0.0301968054615233,-0.0590670435113987,-0.00132656741164791,0.00469716200919017,-0.000502650262839659,0.00989697428122,0.00212721586198529,NA,NA,2067,0,1,11,0.996,22,0.856,39
"2209","Bewick's Wren","Bewick's Wren",1970,2017,3.45359576923077,3.944904,0.362276315676657,FALSE,0,-0.00606825066123472,-0.0295152172894199,0.0173787159669505,0.000585671886338196,-0.000941113095107459,0.00211245686778385,0.00162285517703902,-0.000897845148041171,0.00414355550211921,2067,0,0.573,44,0.127,NA,0.001,NA
"2257","Black-and-white Warbler","Black-and-white Warbler",1970,2017,1.79095284615385,1.945683,0.224403274382787,FALSE,0,-0.00102341155430848,-0.0152038940308681,0.0131570709222511,0.00108967120736729,-0.000100272427357528,0.0022796148420921,0.000519950665566846,NA,NA,2067,0,0.052,NA,0,NA,0,NA
"2305","Black-backed Woodpecker","Black-backed Woodpecker",1970,2017,0.112072076923077,0.13019,0.763588116330655,FALSE,0,0.0306297617611777,0.0140034162791801,0.0472561072431752,0.00097546321761775,-0.000192205263681372,0.00214313169891687,0.000755804938238375,NA,NA,2067,0,0,NA,0,NA,0.007,NA
"2353","Black-bellied Plover","Black-bellied Plover",1974,2016,0.860166666666667,1.25,1.13566348160206,FALSE,0,-0.0510353841793018,-0.12106774044439,0.0189969720857862,0.0249763699876638,-0.00600526476483023,0.0559580047401578,0.0111558440985228,-0.012462440526681,0.0347741287237267,2066,0.028,1,6,0.998,12,0.979,22
"2401","Black-billed Cuckoo","Black-billed Cuckoo",1970,2017,0.302337230769231,0.44315,0.512707721521393,FALSE,0,0.00387592807836273,-0.0825049850667868,0.0902568412235123,0.0367367987329287,-0.0048900377424957,0.078363635208353,0.019524619510091,NA,NA,2067,0.001,0.71,15,0.476,NA,0.222,NA
"2449","Black-billed Magpie","Black-billed Magpie",1970,2017,10.6955884615385,11.390134,0.241044768521582,FALSE,0,-0.00189865190758389,-0.0131063004844337,0.00930899666926593,0.000513295426249791,-7.98347764316146e-05,0.0011064256289312,0.000338121288810958,NA,NA,2067,0,0.036,NA,0,NA,0,NA
"2497","Black-capped Chickadee","Black-capped Chickadee",1970,2017,4.65764046153846,4.987627,0.130322482693966,FALSE,0,0.00547691392135794,-0.0105715649276934,0.0215253927704093,0.00153913167422732,-0.000123954007572602,0.00320221735602725,0.000655324898865241,NA,NA,2067,0,0.097,NA,0.005,NA,0,NA
"2545","Black-chinned Hummingbird","Black-chinned Hummingbird",1970,2017,0.249852,0.276085,0.376432882295403,FALSE,0,0.0108745653499589,-0.00159233809739542,0.0233414687973131,0.00104450771410028,-6.87523306715453e-05,0.0021577677588721,0.000387110907289835,NA,NA,2067,0,0.024,NA,0.025,NA,0,NA
"2593","Black-chinned Sparrow","Black-chinned Sparrow",1970,2017,1.325046,1.498532,1.75968425583124,FALSE,0,-0.0152738336481011,-0.0303236326538216,-0.000224034642380489,0.00120761038490795,-0.000131168093474391,0.00254638886329029,0.000584236302530937,NA,NA,2067,0,0.995,23,0.703,45,0.006,NA
"2641","Black-crested Titmouse","Black-crested Titmouse",1970,2017,7.15259261538462,7.643394,0.934963911728081,FALSE,0,-0.00165831958958441,-0.0230590816559026,0.0197424424767338,0.0002503671304801,-0.000797395068247118,0.00129812932920732,0.00138128273509065,-0.000634093365323257,0.00339665883550456,2067,0,0.26,NA,0.018,NA,0,NA
"2689","Black-crowned Night-Heron","Black-crowned Night-Heron",1970,2017,0.166831615384615,0.173786,0.577037968198685,FALSE,0,0.00343904902359819,-0.00523796494236891,0.0121160629895653,0.000486978943860286,-3.56673180058668e-05,0.00100962520572644,0.000188693614059933,NA,NA,2067,0,0.012,NA,0,NA,0,NA
"2737","Black-headed Grosbeak","Black-headed Grosbeak",1970,2017,3.44250753846154,3.588049,0.24230888553906,FALSE,0,0.00691163087162558,0.0021348171781776,0.0116884445650736,0.00015206881438395,-1.00847972592849e-05,0.000314222426027185,5.68748766324697e-05,NA,NA,2067,0,0.029,NA,0,NA,0,NA
"2785","Black-legged Kittiwake","Black-legged Kittiwake",1970,2017,1.41279951507692,1.902162556,6.59139784232413,TRUE,0,0.0065408055945079,-0.0522456600709361,0.0653272712599519,0.0152867139030786,-0.00218515668143154,0.0327585844875887,0.00919757889124057,NA,NA,2067,0,0.551,36,0.287,NA,0.084,NA
"2833","Black-necked Stilt","Black-necked Stilt",1970,2017,3.61980992307692,4.453366,1.05096762760309,FALSE,0,0.0318054453373339,0.0134155326997586,0.0501953579749093,0.00193831056593606,-0.000171533059481633,0.00404815419135375,0.000866831725040939,NA,NA,2067,0,0,NA,0,NA,0.005,NA
"2881","Black-tailed Gnatcatcher","Black-tailed Gnatcatcher",1970,2017,3.92199853846154,5.559472,0.937790520455483,FALSE,0,0.00304668724611812,-0.125114832639544,0.131208207131781,0,-0.0278166015539461,0.0278166015539461,0.051169798388615,-0.0152303370404116,0.117569933817642,2067,0,0.822,6,0.663,21,0.45,NA
"2929","Black-throated Blue Warbler","Black-throated Blue Warbler",1970,2017,1.34689461538462,1.464351,0.395131020961899,FALSE,0,0.0152819690227468,0.00496449105449339,0.0255994469910003,0.000547461118177664,-5.42310964740103e-05,0.00114915333282934,0.000277638275314161,NA,NA,2067,0,0,NA,0.027,NA,0,NA
"2977","Black-throated Gray Warbler","Black-throated Gray Warbler",1970,2017,2.46035046153846,2.576848,0.554162242776162,FALSE,0,-0.00634306669097822,-0.0188108032059264,0.00612466982396995,0.000977816000503703,-7.67186545538871e-05,0.00203235065556129,0.00039129404248922,NA,NA,2067,0,0.465,NA,0.005,NA,0,NA
"3025","Black-throated Green Warbler","Black-throated Green Warbler",1970,2017,2.78104315384615,2.872906,0.304467248093558,FALSE,0,0.00403852754417039,-0.0112208202880805,0.0192978753764213,0,-0.000397319522615832,0.000397319522615832,0.00072434387357407,-0.000221114311325369,0.00166980205847351,2067,0,0.093,NA,0.003,NA,0,NA
"3073","Black-throated Sparrow","Black-throated Sparrow",1970,2017,22.8152993846154,27.305125,0.580496700218843,FALSE,0,-0.0160558063819547,-0.0536383765976493,0.0215267638337399,0.00599704847212192,-0.000865074321455887,0.0128591712656997,0.00378319591347267,NA,NA,2067,0,0.927,17,0.704,38,0.232,NA
"3121","Black-whiskered Vireo","Black-whiskered Vireo",1993,2017,4.45386123076923,5.275448,5.94531743644152,TRUE,0,-0.0108728525710923,-0.0427730285793386,0.021027323437154,0.00536296108627553,-0.000585639299423896,0.0113115614719749,0.00264348626831593,NA,NA,2067,0,0.821,25,0.441,NA,0.05,NA
"3169","Black Guillemot","Black Guillemot",1970,2017,41.1265208384615,76.25239968,10.678532237554,TRUE,0,-0.0169118802240127,-0.151927340656444,0.118103580208419,0.0805428099197743,-0.0115196544414623,0.172605274281011,0.0485798828487513,NA,NA,2067,0,0.905,5,0.801,15,0.627,34
"3217","Black Oystercatcher","Black Oystercatcher",1970,2017,10.3510614815385,15.95467654,2.52178909127404,TRUE,0,0.0425144439459072,-0.0100333026696061,0.0950621905614205,0.0103493940049316,-0.0018825556286944,0.0225813436385577,0.00749500922297254,NA,NA,2067,0,0.019,NA,0.006,NA,0.023,NA
"3265","Black Phoebe","Black Phoebe",1970,2017,0.670231769230769,0.804931,0.434544107251745,FALSE,0,0.0304925652660056,0.013550527084819,0.0474346034471921,0.00153536903815654,-0.00015873126828594,0.00322946934459902,0.000744076767990008,NA,NA,2067,0,0,NA,0,NA,0.007,NA
"3313","Black Scoter","Black Scoter",1970,2017,40.4018455976923,47.38740779,7.27247469222059,TRUE,0,-0.0249750850042235,-0.0410788458819601,-0.00887132412648681,0.00057179631746675,-0.000435873519115799,0.0015794661540493,0.000725890744378776,-0.000551510282755869,0.00200329177151342,2067,0,1,14,0.999,28,0.623,48
"3361","Black Skimmer","Black Skimmer",1970,2017,0.673158230769231,0.747186,3.79917495215009,TRUE,0,-0.0154751529638214,-0.028187619666049,-0.00276268626159377,0.00106966500453729,-7.54408756085479e-05,0.00221477088468312,0.000403457086301909,NA,NA,2067,0,0.999,23,0.747,44,0.002,NA
"3409","Black Swift","Black Swift",1970,2017,1.68686638461538,2.296254,3.17468339013902,TRUE,0,-0.0479036194964589,-0.0602227420071015,-0.0355844969858163,5.80822656724583e-05,-0.000253224651472578,0.000369389182817495,0.000465188400662262,-0.000176526938784862,0.00110690374010939,2067,0,1,8,1,15,1,26
"3457","Black Tern","Black Tern",1970,2017,4.72166569230769,6.246455,1.13058919099783,FALSE,0,-0.00800437960186873,-0.0774554350873774,0.06144667588364,0.0170114563199541,-0.00376415893151957,0.0377870715714278,0.013088632017401,NA,NA,2067,0,0.792,15,0.565,42,0.263,NA
"3505","Black Turnstone","Black Turnstone",1970,2017,24.5100294938462,33.5397848,1.05858299163514,FALSE,0,-0.0170345123907092,-0.0554516829569097,0.0213826581754913,0.00901945147296752,-0.000734019894377306,0.0187729228403123,0.00374165216026519,NA,NA,2067,0,0.941,17,0.741,36,0.266,NA
"3553","Black Vulture","Black Vulture",1970,2017,5.11026146153846,6.776239,0.28586031995447,FALSE,0,0.0514978415658421,0.0458906532278614,0.0571050299038229,0.000177524715782251,-1.67642836561571e-05,0.00037181371522066,8.06682814465197e-05,NA,NA,2067,0,0,NA,0,NA,0,NA
"3601","Blackburnian Warbler","Blackburnian Warbler",1970,2017,2.10610546153846,2.292361,0.324465666919215,FALSE,0,0.00981981941008947,0.00204756378836263,0.0175920750318163,0.000352398345225098,-2.73671764739316e-05,0.000732163866924128,0.00015256265409439,NA,NA,2067,0,0.012,NA,0.002,NA,0,NA
"3649","Blackpoll Warbler","Blackpoll Warbler",1970,2017,0.615296307692308,0.802283,3.95531726837452,TRUE,0,-0.0508792609209019,-0.117511754063772,0.0157532322219678,0.024146249588932,-0.00272336386443169,0.0510158630422956,0.0114342759133168,NA,NA,2067,0.069,1,6,0.997,12,0.978,22
"3697","Blue-gray Gnatcatcher","Blue-gray Gnatcatcher",1970,2017,3.07429792307692,3.212343,0.155246028976489,FALSE,0,0.000164408321817471,-0.0172090341786761,0.0175378508223111,5.59538699771946e-05,-0.000507190676646805,0.000619098416601195,0.000932979513908126,-0.000315565497945854,0.00218152452576211,2067,0,0.099,NA,0.001,NA,0,NA
"3745","Blue-headed Vireo","Blue-headed Vireo",1970,2017,2.58164430769231,2.893491,0.317675579839561,FALSE,0,0.0141902565067036,-0.0115539047364712,0.0399344177498783,0,-0.00115569518195075,0.00115569518195075,0.00205287858634381,-0.00067294163259056,0.00477869880527818,2067,0,0.067,NA,0.087,NA,0.02,NA
"3793","Blue-winged Teal","Blue-winged Teal",1970,2017,7314.97692307692,9242.3,0.200234013633236,FALSE,0,0.0350145784669307,-0.00852629943440102,0.0785554563682625,0.0123140193777315,-0.00231699621473405,0.026945034970197,0.00429443529996518,-0.0057432641763289,0.0143321347762593,2067,0,0.004,NA,0.005,NA,0.03,NA
"3841","Blue-winged Warbler","Blue-winged Warbler",1970,2017,0.347713692307692,0.373789,0.411333439470914,FALSE,0,-0.0101672153547309,-0.0160667953888922,-0.00426763532056969,0.000162492113550495,-1.96444950573362e-05,0.000344628722158326,9.20163887858729e-05,NA,NA,2067,0,0.99,35,0.004,NA,0,NA
"3889","Blue Grosbeak","Blue Grosbeak",1970,2017,3.64811707692308,3.842531,0.126150388620516,FALSE,0,0.00894415814475605,-0.000128087901741149,0.0180164041912533,0.000443509218676769,-4.12972104141925e-05,0.000928315647767731,0.000213064571867067,NA,NA,2067,0,0.034,NA,0.002,NA,0,NA
"3937","Blue Jay","Blue Jay",1970,2017,6.66455707692308,6.911398,0.0547276846256546,FALSE,0,-0.00208235245613153,-0.00798441701645255,0.00381971210418949,0.000189118584798915,-1.90460654430944e-05,0.000397283235040925,8.97620210010439e-05,NA,NA,2067,0,0,NA,0,NA,0,NA
"3985","Boat-tailed Grackle","Boat-tailed Grackle",1970,2017,20.8242766153846,22.370735,0.879597025070618,FALSE,0,-0.00594495130724086,-0.0151973874305227,0.00330748481604094,0.00042787991100714,-5.43772781285056e-05,0.000910137100142786,0.000223119270862555,NA,NA,2067,0,0.341,NA,0,NA,0,NA
"4033","Bobolink","Bobolink",1970,2017,4.54149876923077,4.876554,0.222511382791902,FALSE,0,-0.0162363123234626,-0.0314154654284548,-0.00105715921847037,0.000344398003880932,-0.000477667507399142,0.00116646351516101,0.000632179685451179,-0.000548744208792285,0.00181310357969464,2067,0,0.997,21,0.785,42,0.017,NA
"4081","Bohemian Waxwing","Bohemian Waxwing",1993,2017,0.698053076923077,0.866792,1.10354574901256,FALSE,0,-0.0313165643923284,-0.0509544807785292,-0.0116786480061276,0.00226663669242727,-0.0002031240464546,0.00473639743130913,0.000982716334993677,NA,NA,2067,0,1,11,1,22,0.957,38
"4129","Bonaparte's Gull","Bonaparte's Gull",1993,2017,0.525674307692308,0.564612,1.819590209284,FALSE,0,0.000158689829777882,-0.0184521557452995,0.0187695354048553,0.00103192280905511,-0.000611365464597185,0.0026752110827074,0.000918300727575835,-0.000882441731789756,0.00271904318694143,2067,0,0.096,NA,0.001,NA,0,NA
"4177","Boreal Chickadee","Boreal Chickadee",1970,2017,0.327729230769231,0.407674,0.705024907140117,FALSE,0,-0.0113847035915394,-0.0640094839385763,0.0412400767554975,0.0153492348263099,-0.00158394328509011,0.03228241293771,0.00711727032569729,NA,NA,2067,0,0.828,18,0.575,43,0.213,NA
